Song Name,Artist,Length,BPM,Level To Unlock,Easy,Hard,Master,Hidden,Pack,Song Cover
糖果色恋爱学,ANK feat.kumako,2:00,150,10,2,4,6,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/f/fc/%E7%B3%96%E6%9E%9C%E8%89%B2%E6%88%80%E6%84%9B%E5%AD%A6.png/80px-%E7%B3%96%E6%9E%9C%E8%89%B2%E6%88%80%E6%84%9B%E5%AD%A6.png?version=450f4104bd5ce7df3b529578c9abb700
Night Wander (cnsouka Remix),cnsouka,2:05,132,11,3,5,7,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/0/09/Night_Wander.png/80px-Night_Wander.png?version=44857010e1fd0ce9a8a77dd2f3860402
Spring Carnival,3R2,1:47,180,12,2,4,7,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/8/81/Spring_Carnival.png/80px-Spring_Carnival.png?version=9f7d20352bf4ba481d9f427eeedfc55d
DISCO NIGHT,ANK feat.kumako,1:48,120,13,2,4,7,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/d/d1/DISCO_NIGHT.png/80px-DISCO_NIGHT.png?version=17f06ad9d702afc849d2f67cb38123e5
恋爱语音导航 feat.yousa,小野道ono,1:43,130,14,3,5,7,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/b/b1/%E6%88%80%E6%84%9B%E8%AA%9E%E9%9F%B3%E5%B0%8E%E8%88%AA.png/80px-%E6%88%80%E6%84%9B%E8%AA%9E%E9%9F%B3%E5%B0%8E%E8%88%AA.png?version=39e975705b9d957ba2af60d8085247ff
Lights of Muse,Ayatsugu_Otowa,1:37,180,16,4,6,8,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/c/cc/Lights_of_Muse.png/80px-Lights_of_Muse.png?version=dff5df8d971d426073a0df1f814eca50
midstream jam,MusMus,2:01,121,17,2,5,8,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/0/00/Midstream_jam.png/80px-Midstream_jam.png?version=7373c1aef349a2d062af081a876a7369
Nihao,MusikM,2:44,140,18,3,5,7,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/b/bd/Nihao.png/80px-Nihao.png?version=5a8682f2ae78fe0ca7d5b75442500365
Confession,Haloweak & G.K,1:41,175,19,3,5,8,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/9/99/Confession.png/80px-Confession.png?version=ed79eec7699b8b62011d8c1574b66988
Galaxy Striker,M2U,1:30,170,20,4,6,9,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/a/a1/Galaxy_Striker.png/80px-Galaxy_Striker.png?version=fc95e1efaf1f6ec954e69383b4dab166
Departure Road,daisan,2:00,160,21,2,5,8,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/8/82/Departure_Road.png/80px-Departure_Road.png?version=2882d4329d15d525457bd00dad7d2219
Bass Telekinesis,Haloweak,2:26,110,22,2,5,8,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/ed/Bass_Telekinesis.png/80px-Bass_Telekinesis.png?version=46e595f7b2ebb8201bd3b458ff8f1a72
Armeria no Torikago,a_hisa,2:34,150,23,3,5,7,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/4/43/%E3%82%A2%E3%83%AB%E3%83%A1%E3%83%AA%E3%82%A2%E3%81%AE%E9%B3%A5%E7%B1%A0.png/80px-%E3%82%A2%E3%83%AB%E3%83%A1%E3%83%AA%E3%82%A2%E3%81%AE%E9%B3%A5%E7%B1%A0.png?version=02392aee94fbaf15e8ddbdb162484312
Ira,Lactic Acid Bacteria,2:02,145,24,4,6,8,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/a/ac/Ira.png/80px-Ira.png?version=ba62c37c809d63713ad146846157d303
Blackest Luxury Car,Chicala Lpis,2:13,178,25,3,6,8,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/c/c3/Blackest_Luxury_Car.png/80px-Blackest_Luxury_Car.png?version=479cb50c2625f030fa725f739fc6ae41
Medicine of Sing,JurokuNeta.,2:01,190,26,3,6,9,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/4/48/Medicine_of_Sing.png/80px-Medicine_of_Sing.png?version=d03f2e1aa1d155c912342d640465c974
irregulyze,daisan,2:08,135,27,3,6,8,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/a/a7/Irregulyze.png/80px-Irregulyze.png?version=4b3a9ed2b27aa0b1b231386a56778f8a
Imaginary World,uma,1:59,180,28,4,6,8,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/2/22/Imaginary_World.png/80px-Imaginary_World.png?version=6a45f504332eb5eb58aee78fb14777ad
Dysthymia,a_hisa,1:56,190,29,4,7,9,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/a/ab/Dysthymia.png/80px-Dysthymia.png?version=f81e3d2dc8ea20eebc9ea54cef7a8e9d
新世界より,綾奈なな (Prod.Aya2g+Works),2:09,128,31,2,5,7,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/5/5f/Shinsekaiyori.png/80px-Shinsekaiyori.png?version=4552ba89f139b02c18a947dea0c1f844
NISEGAO,Tianyou,1:58,180,32,4,7,9,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/7/74/%E5%81%BD%E9%A1%94.png/80px-%E5%81%BD%E9%A1%94.png?version=da7fdb2f06767b1b63e55188661c6e70
Say! Fanfare!,Fubuki Shirakami,2:09,170,33,4,6,8,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/b/b1/Say_%C3%91%C4%B1%C3%91%C3%AD%C3%91%C2%BE%C3%91%C4%B1%C3%91%C3%AD%C2%AE%60%C3%91%C3%BD.png/80px-Say_%C3%91%C4%B1%C3%91%C3%AD%C3%91%C2%BE%C3%91%C4%B1%C3%91%C3%AD%C2%AE%60%C3%91%C3%BD.png?version=39fbc2ab6b7069fbd189d539b4ca1c0a
