Name,Song Artist,Original Artist,BPM,NOVICE,ADVANCED,EXHAUST,Classification,Contest,RemyWiki Link,Novice Jacket Link,Advanced Jacket Link,Exhaust Jacket Link
ディストピア・ジパング,cosMo@暴走P feat. GUMI,,210,4,8,14,EXIT TUNES License,,https://remywiki.com/Dystopia_zipang,https://remywiki.com/images/f/fc/Dystopia_zipang.png,,
エスケープ・フロム・ディストピア,cosMo@暴走P feat. MAYU,,208,2,7,14,EXIT TUNES License,,https://remywiki.com/Escape_from_dystopia,https://remywiki.com/images/1/1c/Escape_from_dystopia.png,,
春色ポートレート,しゃむおん,,80,1,4,7,EXIT TUNES License,,https://remywiki.com/Haruiro_portrait,https://remywiki.com/images/c/ce/Haruiro_portrait.png,,
ハートブレイク・ヘッドライン,40mP feat. GUMI,,162,4,9,13,EXIT TUNES License,,https://remywiki.com/Heartbreak_headline,https://remywiki.com/images/a/a3/Heartbreak_headline.png,,
一途な片思い、実らせたい小さな幸せ。,うたたP feat. MAYU,,176,3,8,12,EXIT TUNES License,,"https://remywiki.com/Ichizuna_kataomoi,_minorasetai_chiisana_shiawase.",https://remywiki.com/images/0/05/Ichizuna_kataomoi%2C_minorasetai_chiisana_shiawase..png,,
イカサマライフゲイム,kemu feat. GUMI,,200,4,10,14,EXIT TUNES License,,https://remywiki.com/Ikasama_life_game,https://remywiki.com/images/2/28/Ikasama_life_game.png,,
人生リセットボタン,kemu feat. GUMI,,200,4,10,14,EXIT TUNES License,,https://remywiki.com/Jinsei_reset_button,https://remywiki.com/images/6/60/Jinsei_reset_button.png,,
十面相,YM feat. GUMI,,173,3,8,13,EXIT TUNES License,,https://remywiki.com/Juumensou,https://remywiki.com/images/8/8a/Juumensou.png,,
カミサマネジマキ,kemu feat. GUMI,,284,4,10,14,EXIT TUNES License,,https://remywiki.com/Kamisama_nejimaki,https://remywiki.com/images/8/89/Kamisama_nejimaki.png,,
過食性:アイドル症候群,スズム feat.GUMI & MAYU,,200,5,10,14,EXIT TUNES License,,https://remywiki.com/Kashokusei:_idol_shoukougun,https://remywiki.com/images/9/95/Kashokusei_idol_shoukougun.png,,
ケッペキショウ,すこっぷ feat.GUMI,,190,5,10,14,EXIT TUNES License,,https://remywiki.com/Keppekishou,https://remywiki.com/images/d/de/Keppekishou.png,,
君にエールを…！(DJ UTO REMIX),Mayumi Morinaga,,180,5,10,14,EXIT TUNES License,,https://remywiki.com/Kimi_ni_yell_wo...!_(DJ_UTO_REMIX),https://remywiki.com/images/0/09/Kimi_ni_yell_wo...%21_%28DJ_UTO_REMIX%29.png,,
キミノメヲ,そらる,,205,3,9,13,EXIT TUNES License,,https://remywiki.com/Kimi_no_me_wo,https://remywiki.com/images/1/12/Kimi_no_me_wo.png,,
孤独の番人,SCL Project (natsuP) feat.MAYU,,190,2,8,14,EXIT TUNES License,,https://remywiki.com/Kodoku_no_bannin,https://remywiki.com/images/1/16/Kodoku_no_bannin.png,,
腐れ外道とチョコレゐト,ピノキオP,,260,5,10,14,EXIT TUNES License,,https://remywiki.com/Kusare_gedou_to_chocolate,https://remywiki.com/images/6/6f/Kusare_gedou_to_chocolate.png,,
ノイジーラバーソウル,Last Note. feat. GUMI,,190,5,10,14,EXIT TUNES License,,https://remywiki.com/Noisy_lover_soul,https://remywiki.com/images/f/f7/Noisy_rubber_sole.png,,
おにゃのこ きねんび,赤飯,,180,5,9,14,EXIT TUNES License,,https://remywiki.com/Onyanoko_kinenbi,https://remywiki.com/images/9/9a/Onyanoko_kinenbi.png,,
ポーカーフェイス,ゆちゃP feat. GUMI,,184,4,9,12,EXIT TUNES License,,https://remywiki.com/Poker_face,https://remywiki.com/images/6/6f/Poker_face.png,,
恋愛勇者,Last Note. feat. GUMI,,190,3,8,12,EXIT TUNES License,,https://remywiki.com/Renai_yuusha,https://remywiki.com/images/f/fe/Renai_yuusha.png,,
六兆年と一夜物語,kemu feat. IA,,186,3,10,14,EXIT TUNES License,,https://remywiki.com/Rokuchounen_to_ichiya_monogatari,https://remywiki.com/images/5/54/Rokuchounen_to_ichiya_monogatari.png,,
炉心融解,iroha,,165,2,7,11,EXIT TUNES License,,https://remywiki.com/Roshin_yuukai,https://remywiki.com/images/c/cd/Roshin_yuukai.png,,
ルートスフィア,Last Note. feat. GUMI,,124,1,6,11,EXIT TUNES License,,https://remywiki.com/Route_sphere,https://remywiki.com/images/f/fb/Route_sphere.png,,
ルービックキューブ,otetsu feat.GUMI,,140,2,9,14,EXIT TUNES License,,https://remywiki.com/Rubik%27s_cube,https://remywiki.com/images/6/6f/Rubik%27s_cube.png,,
再教育,Neru,,163,2,7,10,EXIT TUNES License,,https://remywiki.com/Saikyouiku,https://remywiki.com/images/e/ea/Saikyouiku.png,,
セツナトリップ,Last Note. feat. GUMI,,145,4,10,14,EXIT TUNES License,,https://remywiki.com/Setsuna_trip,https://remywiki.com/images/6/6e/Setsuna_trip.png,,
ソラヘドライブ,ぐるたみん,,180,3,8,13,EXIT TUNES License,,https://remywiki.com/Sora_e_drive,https://remywiki.com/images/8/85/Sora_e_drive.png,,
Bad Apple!! feat. nomico,Masayoshi Minoshima,ZUN (Team Shanghai Alice),138,2,7,12,Touhou Project Arrangement,,https://remywiki.com/Bad_Apple!!_feat._nomico,https://remywiki.com/images/0/07/Bad_Apple%21%21_feat._nomico.png,,
Grip & Break down !! - SDVX Edit. -,SOUND HOLIC feat. Nana Takahashi,ZUN (Team Shanghai Alice),160,5,10,14,Touhou Project Arrangement,,https://remywiki.com/Grip_%26_Break_down_!!_-_SDVX_Edit._-,https://remywiki.com/images/d/de/Grip_%26_Break_down_%21%21_-_SDVX_Edit._-.png,,
taboo tears you up 2008,REDALiCE,ZUN (Team Shanghai Alice),180,4,10,13,Touhou Project Arrangement,,https://remywiki.com/Taboo_tears_you_up_2008,https://remywiki.com/images/6/6c/Taboo_tears_you_up_2008.png,,
チルノのパーフェクトさんすう教室,ARM(IOSYS),ZUN (Team Shanghai Alice),175,5,10,13,Touhou Project Arrangement,,https://remywiki.com/Cirno_no_perfect_sansuu_kyoushitsu,https://remywiki.com/images/8/8d/Cirno_no_perfect_sansuu_kyoushitsu.png,,
Runway Drive,FELT,ZUN (Team Shanghai Alice),160,2,6,11,Touhou Project Arrangement,,https://remywiki.com/Runway_Drive,https://remywiki.com/images/8/84/Runway_Drive.png,,
明星ロケット,岸田教団&THE明星ロケッツ,ZUN (Team Shanghai Alice),163,3,8,13,Touhou Project Arrangement,,https://remywiki.com/Akeboshi_rocket,https://remywiki.com/images/f/f0/Akeboshi_rocket.png,,
幻想のサテライト,豚乙女,ZUN (Team Shanghai Alice),230,5,11,14,Touhou Project Arrangement,,https://remywiki.com/Gensou_no_satellite,https://remywiki.com/images/9/9b/Gensou_no_satellite.png,,
月に叢雲華に風,幽閉サテライト feat. senya,ZUN (Team Shanghai Alice),160,5,9,13,Touhou Project Arrangement,,https://remywiki.com/Tsuki_ni_murakumo_hana_ni_kaze,https://remywiki.com/images/d/d7/Tsuki_ni_murakumo_hana_ni_kaze.png,,
"Help me, ERINNNNNN!!",ビートまりお(COOL&CREATE),ZUN (Team Shanghai Alice),185,5,10,13,Touhou Project Arrangement,,"https://remywiki.com/Help_me,_ERINNNNNN!!",https://remywiki.com/images/8/8c/Help_me%2C_ERINNNNNN%21%21.png,,
Rot in hell！！,EastNewSound,ZUN (Team Shanghai Alice),150,3,8,13,Touhou Project Arrangement,,https://remywiki.com/Rot_in_hell!!,https://remywiki.com/images/4/4f/Rot_in_hell%21%21.png,,
色は匂へど散りぬるを,幽閉サテライト feat. senya,ZUN (Team Shanghai Alice),138,2,8,12,Touhou Project Arrangement,,https://remywiki.com/Iro_wa_nioedo_chirinuru_wo,https://remywiki.com/images/6/6e/Iro_wa_nioedo_chirinuru_wo.png,,
ケロ⑨destiny,Silver Forest feat.めらみぽっぷ,ZUN (Team Shanghai Alice),174,4,10,14,Touhou Project Arrangement,,https://remywiki.com/Kero9destiny,https://remywiki.com/images/e/e7/Kero9destiny.png,,
魔理沙は大変なものを盗んでいきました,ARM(IOSYS),ZUN (Team Shanghai Alice),170,4,9,13,Touhou Project Arrangement,,https://remywiki.com/Marisa_wa_taihen_na_mono_wo_nusunde_ikimashita,https://remywiki.com/images/e/e0/Marisa_wa_taihen_na_mono_wo_nusunde_ikimashita.png,,
